abedde 	in bed; to bed
wey, weye	path, road; way, manner, means
weylaway, welaway	alas!
weyve	to abandon, give up
wel, wele, weel	well; very much; very
welken, wolken	sky
welle	well, spring; source
wenche	girl, young woman (of low birth); servant girl
wenden	to travel, go, leave
wenen, weene	to suppose, think, expect
wexen, waxen	to grow, increase
whan, whanne	when
wherefor	why, for which reason
whil	time, a short time
whit	white; innocent, pure
whoso, whooso	whoever, anyone
wy	why, indeed
wyd	wide, roomy
wydwe, widewe	widow
wight	creature, person, being
wyke, wowke, weke	week
wykke	wicked, evil; miserable
wyle	stratagem, trick
wilne	to wish, desire
wynde	to wind, twist; clasp, wrap
wynnen	to win, conquer, earn
wys	wise, prudent
wisly, wisely	certainly, surely
wit	mind; intelligence, judgement
wite	to know
withal, withalle     	withal, indeed
withstonden	to withstand, resist
witnesse	testimony, evidence
wo, woo	woe
wod, wode, wood	mad, crazy
woodnesse, wodnesse	madness
wombe	belly, womb
wommanhede	femininity, womanliness
worthy	respectable, worthy; distinguished, excellent
wrappe	to wrap, cover, conceal
wrecche	wretch, miserable person; exile
wreye, wrie	to reveal, betray
wreken	to avenge, revenge oneself
wrothe, wroothe	angry
yelden	to pay; yield, surrender, give up
yeman	yeoman, free-born servant; official
yer, yeere	year
yerde, yeerd	yard, garden
yerne	quickly
yeve	to give
yift, yefte	gift
yis	yes
yond	yonder
yong, yonge	young
yore, yoore	long ago, formerly
